,score_indexed,new_text,,
0,0.0,My mother told me about this movie years ago and after much searching we finally found it on VHS After watching it I realized why it had impressed itself on her so the Messiah as portrayed by Bruce Marchiano is a virile passionate affectionate emotional man completely human and completely aware of his existence as the son of God Told word for word from the book of Matthew my only complaint is that the correct name Yahshua wasn t used instead of Jesus something I never expected in the first place br br This movie is compelling very well acted and with beautiful shots of both scenery and people at their most true to life Especially poignant to watch during the Passover season this movie is well worth any price and I ve bought it over and over to give to friends and acquaintances once I found it on DVD br br Buy it you won t be sorry ,,
1,0.0,I have always been a fan of Matthew Perry enjoying his great comedic timing But Fools Rush In has always been a favorite of mine because it displays his tender side as well br br Alex played by Matthew Perry meets Isabel Salma Hayek and have a one night stand She disappears but returns 3 months later to announce that she is pregnant with his child What transcends from here on end is an over night wedding and a marriage which puts to the test their individual heritage The challenges are many but they each attempt to rise to the occasion as Isabel nears the birth of their child br br I would especially recommend this to any couple who come from different backgrounds It will touch your heart ,,
2,0.0,This is an absolutely saccharine vapid funny story with a great hook A divorced daddy lawyer has his life turned upside down when his disappointed kid Dad missed another birthday party gets his birthday wish that his dad could only tell the truth just for one day br br In the first place no kid would say Just for one day he d say Forever Be that as it may the comic possibilities are quite promising with the manic Jim Carrey in the role of the lying daddy But ultimately this film very much reminds me of Robin Williams s breakthrough role as Mork in the TV series Mork Mindy which unfortunately is now rarely seen in spite of the huge number of cable channels available In each LL and M M we have an extremely thin poorly executed backdrop behind a very energetic comedian at his best This makes for lots of laughs but nothing memorable Junk food comedy worth renting but only worth buying for the Carrey faithful br br Liar Liar is very much worth watching for the laughs and there are plenty The biggest one may be in the bloopers during the end credits when Swoosie Kurtz zings Carrey beautifully in a way that shows to no one s surprise that everybody in on the making of this quickie was completely devoid of illusions about the nature of the film It s a cute flick but one that could have been a far better movie if someone had been willing to make it so As it is it s at least good for a few laughs but even a few of the comedy bits are remarkably forced ,,
3,0.0,This was my favorite movie when I was in Middle School It still is a great movie I was glad to wait for the special edition dvd When I was younger I was interested in becoming a storm chaser so this was quite a film Now that I am older I think there are still some flaws with the movie but that is ok The movie was made for fun not for great writing Some of the words storm chasers use people would not be familiar with but I suggest people who want to learn more about weather go to the library Anyway if you are looking for a film with great special effects this is the one ,,
4,0.0,For women of all ages but most certainly for middle aged and above who have been or are married You know when you re reading a good book or talking to a good friend and they just get everything you re feeling There s hardly a better moment than that Shirley Valentine is a keeper movie to pass among female friends and family Men can watch of course but they re not likely to get it Love it love it love it ,,
5,386,positive,0.0,Jerry Lewis runs amuck as a household gopher in a home for aspiring and gorgeous young actresses A dream job for any guy unless the guy is still recovering from a traumatic relationship that has him terrified of ANYTHING female Some of the routines and the cast are way too familiar but Lewis keeps the cat beat hopping with new twists on some of his most classic routines 
6,1.0,If you are going to buy this DVD new please consider this the original creator isn t receiving a single penny from all the sales of DVDs from sites like Amazon Barnes and Nobles Borders etc He was gypped so badly that he almost ended up homeless a few years ago and subsequently had no money to help take care of his then dying mother br br If you are thinking about buying this new please please consider buying instead from the one site that is willing to give Mr Beagle his dues br br w w w conlanpress c o m html dvd html br br Please help support the people responsible for bringing such a wonderful film into the lives of you and your family ,,
7,1.0,I saw the original miniseries on t v It was quite good However the vhs tape I recieved thru amazon com was cut by 50 or more which totally ruined it To anyone viewing it for the first time it wouldn t make any sense The continuity is so chopped up all we re left with is a collection of seemingly unrelated events The scenes that were left out connect everything together and also were very interesting as well I don t like anybody deciding what is enough for me to see Especially at 19 95 a crack plus shipping,,
8,0.0,I somehow don t think even getting on the ground and bowing down to the pure unadulterated genius of Kevin Smith would be enough in the way of thanking him for this movie To say it is funny would be a huge understatement to say it is you me and that guy you know the one the one who is always lurking would be more to the point Its a movie about life and when one has a few moments to step back and really look at what we are doing saying where we are going and how we are getting there you can really see the utter humor of it all I m not even supposed to be here today is was the moniker of us all at one point or another in our lives and this movie is about those funny odd trying to act grownup moments we have all had ENJOY I know you will br br Most Happy br br Lady Anne br ,,
9,0.0,This is an incredible serious and beautiful film The imagery is astounding and often thought provoking The music is also great and matches the film very well if you like Peter Gabriel s Passion the instrumental soundtrack to The Last Temptation of Christ you will like the score for Baraka p I disagree with the reviewer who said that Baraka is just an imitation of Koyaanisqatsi If you d bother to read the credits Ron Fricke the creator of Baraka was also responsible for ALL of the filming for the qatsi trilogy which includes Koyaanisqatsi Baraka is a different kind of movie with a different more subtly communicated message p Baraka was shot in the very expensive 70mm format which yields a very high quality picture especially when transferred to DVD Ron Fricke is a master of the 70mm format and he actually designed many of the camera rigs used in Baraka including the very high quality time lapse footage Give Fricke some credit for having learned something in the almost 10 years since Koyaanisqatsi was filmed p If you are expecting vapid New Age eye candy this is not the movie for you If you want a beautiful film that will change you a film that you can watch again every 6 months without getting tired of it then buy this DVD I have the original DVD very hapy with it so I can t say whether the film transfer quality in the Collector s Edition is on par Maybe one of these days I ll buy the Collector s Edition and see which one I like best ,,
